,Name,Adress,String,Kontakt,Bundesland,ICU low care,ICU high care,ECMO,Stand,Location
83,Filderklinik,"Im Haberschlai 7, 70794 Filderstadt",Filderklinik Anästhesie/Innere Im Haberschlai 7 70794 Filderstadt,Intensiv Website,BW,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 12:03,"(48.6478404, 9.2048526)"
84,Asklepios Südpfalzklinik Germersheim,"An Fronte Karl 2, 76726 Germersheim",Asklepios Südpfalzklinik Germersheim Anästhesie/Intensivmedizin An Fronte Karl 2 76726 Germersheim,Intensivstation Website,RP,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 15:30,"(49.21975165, 8.365501871168117)"
85,Heilig Geist-Krankenhaus,"Graseggerstr. 105, 50737 Köln",Heilig Geist-Krankenhaus Innere Med / Anästhesie Graseggerstr. 105 50737 Köln,interdisziplinäre Intensivstation Website,NRW,Begrenzt,Begrenzt,Nicht verfügbar,21.03.2020 12:16,"(50.992054800000005, 6.924726108310232)"
86,Altonaer Kinderkrankenhaus,"Bleickenallee 38, 22763 Hamburg",Altonaer Kinderkrankenhaus Neonatologie und pädiatrische Intensivmedizin Bleickenallee 38 22763 Hamburg,Kinderintensivstation Website,HH,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 15:17,"(53.55193895, 9.913895664734888)"
87,Sana HANSE-Klinikum Wismar GmbH,"Störtebekerstraße 6, 23966 Wismar",Sana HANSE-Klinikum Wismar GmbH ITS Störtebekerstraße 6 23966 Wismar,C2 Website,MV,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 15:15,"(53.8848141, 11.4391538)"
88,Asklepios Stadtklinik Bad Wildungen,"Brunnenallee 19, 34537 Bad Wildungen",Asklepios Stadtklinik Bad Wildungen Klinik für Anästhesie und Intensivmedizin Brunnenallee 19 34537 Bad Wildungen,Intensivstation Website,HE,Ausgelastet,Verfügbar,Nicht verfügbar,21.03.2020 09:10,"(51.1171379, 9.114575)"
89,Klinikum Ernst von Bergmann Potsdam,"Charlottenstraße 72, 14467 Potsdam",Klinikum Ernst von Bergmann Potsdam Charlottenstraße 72 14467 Potsdam,Website,BB,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 15:06,"(52.40177095, 13.064971683888267)"
90,MEDIAN Klinik NRZ Magdeburg,"Gustav-Ricker-Straße 4, 39120 Magdeburg",MEDIAN Klinik NRZ Magdeburg Gustav-Ricker-Straße 4 39120 Magdeburg,Website,ST,Ausgelastet,Ausgelastet,Nicht verfügbar,20.03.2020 14:53,"(52.08624395, 11.637827172026238)"
91,Klinikum Westfalen - Knappschaftskrankenhaus Dortmund,"Am Knappschaftskrankenhaus 1, 44309 Dortmund","Klinikum Westfalen - Knappschaftskrankenhaus Dortmund Anästhesiologie, Intensivmedizin und Schmerztherapie Am Knappschaftskrankenhaus 1 44309 Dortmund",Zentrum Interdisziplinäre Intensivmedizin Website,NRW,Verfügbar,Verfügbar,Verfügbar,21.03.2020 09:22,"(51.51985415, 7.533329154471999)"
92,Evangelische Lungenklinik Berlin,"Lindenberger Weg 27, 13125 Berlin",Evangelische Lungenklinik Berlin Pneumologie Lindenberger Weg 27 13125 Berlin,Intensivstation 2 Website,BE,Begrenzt,Ausgelastet,Nicht verfügbar,20.03.2020 14:40,"(52.6313524, 13.5059061)"
93,COLLM KLINIK OSCHATZ,"Parkstraße 1, 4758 Oschatz",COLLM KLINIK OSCHATZ Intensivmedizin Parkstraße 1 4758 Oschatz,Intensivstation Website,SN,Ausgelastet,Verfügbar,Nicht verfügbar,20.03.2020 14:11,"(51.2921056, 13.11410058581081)"
94,Herzzentrum Leipzig,"Strümpellstraße 39, 4289 Leipzig",Herzzentrum Leipzig Strümpellstraße 39 4289 Leipzig,Website,SN,Verfügbar,Verfügbar,Verfügbar,21.03.2020 09:05,"(51.3053641, 12.4330644)"
95,KMG Klinikum Kyritz,"Perleberger Str. 31a, 16866 Kyritz",KMG Klinikum Kyritz Klinik für Anästhesiologie und Intensivmedizin Perleberger Str. 31a 16866 Kyritz,ITS / IMC Website,BB,Verfügbar,Begrenzt,Nicht verfügbar,21.03.2020 10:00,"(52.94827545, 12.388406886752225)"
96,Carl-von-Basedow-Klinikum,"Weiße Mauer 52, 6217 Merseburg",Carl-von-Basedow-Klinikum Weiße Mauer 52 6217 Merseburg,Website,ST,Verfügbar,Verfügbar,Verfügbar,21.03.2020 15:18,"(51.36643445, 11.993742506910406)"
97,Evangelisches Krankenhaus Lippstadt gGmbH,"Wiedenbrücker Str. 33, 59555 Lippstadt",Evangelisches Krankenhaus Lippstadt gGmbH Anästhesie Wiedenbrücker Str. 33 59555 Lippstadt,ITS Website,NRW,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 14:06,"(51.6851853, 8.3430051)"
98,Diakomed - Diakoniekrankenhaus Chemnitzer Land gGmbH,"Limbacher Straße 19b, 9232 Hartmannsdorf",Diakomed - Diakoniekrankenhaus Chemnitzer Land gGmbH Limbacher Straße 19b 9232 Hartmannsdorf,Interdisziplinäre Intensivtherapiestation Website,SN,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 07:43,"(50.8830627, 12.7926901)"
99,Krankenhaus Barmherzige Brüder Regensburg,"Prüfeninger Straße 86, 93049 Regensburg",Krankenhaus Barmherzige Brüder Regensburg Pneumologie und konservative Intensivmedizin Prüfeninger Straße 86 93049 Regensburg,IVK Website,BY,Verfügbar,Verfügbar,Verfügbar,21.03.2020 15:49,"(49.01583815, 12.064069809337463)"
100,Hochwaldkrankenhaus Bad Nauheim,"Chaumontplatz 1, 61231 Bad Nauheim",Hochwaldkrankenhaus Bad Nauheim Chaumontplatz 1 61231 Bad Nauheim,interdisziplinäre Intensivstation Website,HE,Begrenzt,Ausgelastet,Nicht verfügbar,20.03.2020 13:40,"(50.3567541, 8.7296524)"
101,St. Marien-Krankenhaus Siegen GmbH,"Kampenstraße 51, 57072 Siegen",St. Marien-Krankenhaus Siegen GmbH Kardiologie/Anästhesie Kampenstraße 51 57072 Siegen,A0 Website,NRW,Begrenzt,Begrenzt,Nicht verfügbar,20.03.2020 17:45,"(50.87908485, 8.029839478268633)"
102,Fachkrankenhaus Hubertusburg gGmbH,"Hubertusburger-Str. 63, 4779 Wermsdorf",Fachkrankenhaus Hubertusburg gGmbH Neurologie Hubertusburger-Str. 63 4779 Wermsdorf,Neurologische Intensivstation Website,SN,Begrenzt,Ausgelastet,Nicht verfügbar,20.03.2020 13:34,"(51.2784923, 12.941454)"
103,Asklepios Orthopädische Klinik Hohwald,"Hohwaldstraße 40, 1844 Neustadt (Sachsen)",Asklepios Orthopädische Klinik Hohwald Anästhesie Hohwaldstraße 40 1844 Neustadt (Sachsen),IMC Website,SN,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 13:27,"(None, None)"
104,Pleissentalklinik Werdau,"Ronneburger Straße 106, 8412 Werdau",Pleissentalklinik Werdau Anästhesie und Intensivtherapie Ronneburger Straße 106 8412 Werdau,11 Website,SN,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 14:23,"(50.7425616, 12.3661335)"
105,Asklepios Klinik Nord,"Tangstedter Landstrasse 400, 22417 Hamburg","Asklepios Klinik Nord Klinik für Anästhesiologie, Intensiv-, Notfall- und Schmerzmedizin Tangstedter Landstrasse 400 22417 Hamburg",Intensivstation Website,HH,Ausgelastet,Begrenzt,Verfügbar,20.03.2020 17:38,"(53.6747354, 10.0291287)"
106,Asklepios Klinik Pasewalk,"Prenzlauer Chaussee 30, 17309 Pasewalk",Asklepios Klinik Pasewalk interdisziplinär Prenzlauer Chaussee 30 17309 Pasewalk,Intensivstation Website,MV,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 13:25,"(53.48945075, 13.985744342169653)"
107,Kreiskrankenhaus Prignitz,"Dobberziner Strasse 112, 19348 Perleberg",Kreiskrankenhaus Prignitz Anästhesie Dobberziner Strasse 112 19348 Perleberg,ITS Website,BB,Verfügbar,Begrenzt,Nicht verfügbar,21.03.2020 12:10,"(53.073924250000005, 11.873565043689617)"
108,SRH Klinikum Karlsbad-Langensteinbach GmbH,"Guttmannstrasse 1, 76307 Karlsbad-Langensteinbach",SRH Klinikum Karlsbad-Langensteinbach GmbH Guttmannstrasse 1 76307 Karlsbad-Langensteinbach,Website,BW,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 17:50,"(48.90454585, 8.502866632795278)"
109,Sächsische Schweiz Klinik Sebnitz,"Dr.-Steudner-Str. 75b, 1829 Sebnitz",Sächsische Schweiz Klinik Sebnitz Anästhesie/Intensivtherapie Dr.-Steudner-Str. 75b 1829 Sebnitz,Interdisziplinäre Intensivstation Website,SN,Begrenzt,Begrenzt,Nicht verfügbar,20.03.2020 12:55,"(None, None)"
110,"Kreiskliniken Günzburg-Krumbach, Klinik Günzburg","Ludwig Heilmeyer Strasse 1, 89312 Günzburg","Kreiskliniken Günzburg-Krumbach, Klinik Günzburg Abteilung für Anaesthesie & Intensivmedizin Ludwig Heilmeyer Strasse 1 89312 Günzburg",GS8 Intensiv Website,BY,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 12:23,"(48.4571694, 10.293872582641297)"
111,Vivantes Klinikum Spandau,"Neue Bergstraße 6, 13585 Berlin",Vivantes Klinikum Spandau Neue Bergstraße 6 13585 Berlin,Website,BE,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 12:30,"(52.549706549999996, 13.20690754478515)"
112,Vivantes Friedrichshain,"Landsberger Allee 49, 10249 Berlin",Vivantes Friedrichshain Landsberger Allee 49 10249 Berlin,Website,BE,Verfügbar,Verfügbar,Verfügbar,21.03.2020 16:03,"(52.525510249999996, 13.439369134200344)"
113,Leopoldina Krankenhaus Schweinfurt,"Gustav-Adolf-Str. 8, 97422 Schweinfurt",Leopoldina Krankenhaus Schweinfurt AN und MED Gustav-Adolf-Str. 8 97422 Schweinfurt,Intensivstationen Website,BY,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 07:49,"(50.05166735, 10.243893947536613)"
114,Vivantes Humboldt Krankenhaus,"Am Nordgraben 2, 13509 Berlin",Vivantes Humboldt Krankenhaus Am Nordgraben 2 13509 Berlin,Website,BE,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 12:23,"(52.5901041, 13.3098754)"
115,Knappschaftskrankenhaus Recklinghausen,"Dorstener Str. 151, 45657 Recklinghausen","Knappschaftskrankenhaus Recklinghausen Klinik für Anaesthesiologie, Intensiv- und Schmerzmedizin Dorstener Str. 151 45657 Recklinghausen",Intensivstation Website,NRW,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 12:20,"(51.620076049999994, 7.176208962289043)"
116,Caritas-Klinik Dominikus Berlin-Reinickendorf,"Kurhausstrasse 30, 13467 Berlin","Caritas-Klinik Dominikus Berlin-Reinickendorf Abteilung für Anästhesie, Intensiv-, und Notfallmedizin Kurhausstrasse 30 13467 Berlin",Interdiziplinäre Intensivstation Website,BE,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 12:20,"(52.6247457, 13.294050249509745)"
117,Vivantes Auguste Viktoria Krankenhaus - AVK,"Rubensstraße 125, 12157 Berlin",Vivantes Auguste Viktoria Krankenhaus - AVK Rubensstraße 125 12157 Berlin,Website,BE,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 12:20,"(52.46242555, 13.3463991013061)"
118,Klinikum Mittelmosel Zell,"Barlstrasse 7, 56856 Zell",Klinikum Mittelmosel Zell Anästhesie und Intensivmedizin Barlstrasse 7 56856 Zell,Intensivstation Website,RP,Verfügbar,Begrenzt,Nicht verfügbar,20.03.2020 12:20,"(50.023415549999996, 7.168150013118105)"
119,Paracelsus-Klinik Marl,"Lipper Weg 11, 45770 Marl","Paracelsus-Klinik Marl Klinik für Anaesthesiologie, Intensiv- und Schmerzmedizin Lipper Weg 11 45770 Marl",Intensivstation Website,NRW,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 12:15,"(51.66204425, 7.124187035776487)"
120,Mariannen-Hospital Werl,"Unnaerstr. 15, 59457 Werl",Mariannen-Hospital Werl Anästhesiologie Unnaerstr. 15 59457 Werl,Intensiv Website,NRW,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 12:12,"(51.5514619, 7.905835792031686)"
121,SRH Waldklinikum Gera,"Straße des Friedens 122, 7548 Gera",SRH Waldklinikum Gera Klinik für Anästhesiologie und Intensivmedizin Straße des Friedens 122 7548 Gera,Interdisziplinäre Intensivstation Website,TH,Begrenzt,Begrenzt,Nicht verfügbar,20.03.2020 12:10,"(50.868439, 12.051077)"
122,KKH Demmin,"Wollweberstr., 17109 Demmin",KKH Demmin Anästhesiologie Wollweberstr. 17109 Demmin,ITS Website,MV,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 12:11,"(53.904409, 13.0401619)"
123,Ev. Krankenhaus Göttingen Weende,"An der Lutter 24, 0 Göttingen",Ev. Krankenhaus Göttingen Weende Anästhesie / Innere Medizin An der Lutter 24 0 Göttingen,Interdisziplinäre Intensivstation Website,NI,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 12:03,"(51.5545639, 9.9436468)"
124,Städt. Klinikum Lüneburg gGmbH,"Bögelstr 1, 21335 Lüneburg",Städt. Klinikum Lüneburg gGmbH Bögelstr 1 21335 Lüneburg,Website,NI,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 07:50,"(53.2401919, 10.39584527773684)"
125,"Marienhausklinikum Eifel, Standort Bitburg","Krankenhausstraße 1, 54634 Bitburg","Marienhausklinikum Eifel, Standort Bitburg Intensivmedizin/Anäshtesie Krankenhausstraße 1 54634 Bitburg",6 Website,RP,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 11:55,"(49.9718805, 6.5264288718328665)"
126,"Klinikum Dahme Spreewald GmbH, Spreewaldklinik Lübben","Schillerstraße 29, 15907 Lübben","Klinikum Dahme Spreewald GmbH, Spreewaldklinik Lübben Anästhesie und Intensivmedizin Schillerstraße 29 15907 Lübben",ITS Website,BB,Ausgelastet,Verfügbar,Nicht verfügbar,21.03.2020 10:08,"(51.9442236, 13.874811328048464)"
127,Krankenhaus vom Roten Kreuz Bad Cannstatt GmbH,"Badstraße 35-37, 70372 Stuttgart",Krankenhaus vom Roten Kreuz Bad Cannstatt GmbH Pneumologie und Innere Medizin Badstraße 35-37 70372 Stuttgart,Intenrnistische Intensivstation Website,BW,Ausgelastet,Ausgelastet,Nicht verfügbar,21.03.2020 13:58,"(48.803617349999996, 9.21172366714362)"
128,St. Josefs-Krankenhaus Potsdam-Sanssouci,"Allee nach Sanssouci 7, 14471 Potsdam",St. Josefs-Krankenhaus Potsdam-Sanssouci Klinik für Anästhesiologie und Intensivmedizin Allee nach Sanssouci 7 14471 Potsdam,Interdisziplinäre Intensivstation Website,BB,Begrenzt,Verfügbar,Nicht verfügbar,20.03.2020 11:39,"(52.399701449999995, 13.044797640786872)"
129,Asklepios Südpfalzklinik Kandel,"Luitpoldstraße 14, 76870 Kandel",Asklepios Südpfalzklinik Kandel Anästhesie und Intensivmedizin Luitpoldstraße 14 76870 Kandel,Intensiv/IMC Website,RP,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 10:57,"(49.08615745, 8.200883576321097)"
130,St. Franziskus-Hospital Lohne,"Franziskusstraße 6, 49393 Lohne",St. Franziskus-Hospital Lohne Anästhesie/Intensiv Franziskusstraße 6 49393 Lohne,10 Website,NI,Begrenzt,Verfügbar,Nicht verfügbar,21.03.2020 09:19,"(52.664659549999996, 8.240865987056461)"
131,radprax Krankenhaus Plettenberg,"Ernst-Moritz-Arndt-Str. 17, 58840 Plettenberg",radprax Krankenhaus Plettenberg 3 Ernst-Moritz-Arndt-Str. 17 58840 Plettenberg,5 Website,NRW,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 10:37,"(51.2133812, 7.8864972)"
132,Krankenhaus St. Josef Schweinfurt,"Ludwigstrasse 1, 97421 Schweinfurt",Krankenhaus St. Josef Schweinfurt Abteilung für Anästhesie und Intensivmedizin Ludwigstrasse 1 97421 Schweinfurt,Interdisziplinäre Intensivstation Website,BY,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 10:46,"(50.0436834, 10.225196016399913)"
133,"Kardinal v. Galen Klinik, St. Elisabeth Damme","Lindenstraße 3-7, 49401 Damme","Kardinal v. Galen Klinik, St. Elisabeth Damme Anästhesie/Instensiv Lindenstraße 3-7 49401 Damme",ICU Website,NI,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 10:28,"(52.52093495, 8.194257081886846)"
134,KJF Klinik St. Elisabeth,"Müller-Gnadenegg-Weg 4, 86633 Neuburg a.d. Donau",KJF Klinik St. Elisabeth Intensivmedizin Müller-Gnadenegg-Weg 4 86633 Neuburg a.d. Donau,interdisziplinäre Intensivstation Website,BY,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 14:15,"(48.731040750000005, 11.174061540537142)"
135,Schön Klinik Neustadt,"Am Kiebitzberg 10, 23730 Neustadt",Schön Klinik Neustadt Anästhesie und Intensivmedizin Am Kiebitzberg 10 23730 Neustadt,Website,SH,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 10:20,"(54.090417599999995, 10.829299757695626)"
136,"Klinikum Passau, Klinik für Anästhesiologie und Intensivmedizin, ITS 24,24a","Innstraße 76, 94032 Passau","Klinikum Passau, Klinik für Anästhesiologie und Intensivmedizin, ITS 24,24a Anästhesiologie und Operative Intensivmedizin Innstraße 76 94032 Passau",Intensivstationen 24 und 24a Website,BY,Verfügbar,Verfügbar,Verfügbar,20.03.2020 10:47,"(48.56503565, 13.44533565016345)"
137,"Universitätsklinikum Leipzig, Kinderklinik","Liebigstraße 20a, 4103 Leipzig","Universitätsklinikum Leipzig, Kinderklinik Klinik und Poliklinik für Kinder- und Jugendmedizin Liebigstraße 20a 4103 Leipzig",Interdisziplinäre Kinderintensivstation Website,SN,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 10:03,"(51.3312959, 12.3883431)"
138,Helios Park-Klinikum Leipzig,"Strümpelstraße 41, 4289 Leipzig",Helios Park-Klinikum Leipzig Strümpelstraße 41 4289 Leipzig,Website,SN,Ausgelastet,Begrenzt,Nicht verfügbar,21.03.2020 08:50,"(None, None)"
139,Maria-Theresia-Klinik,"Bavariaring 46, 80336 München","Maria-Theresia-Klinik Abteilung für Anästhesie, operative Intensivmedizin und Schmerztherspie Bavariaring 46 80336 München",Station 3 Website,BY,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 09:56,"(48.1266722, 11.5493435)"
140,Kreiskrankenhaus Bergstraße,"Viernheimerstraße 2, 64646 Heppenheim",Kreiskrankenhaus Bergstraße Anästhesie/Intensivmedizin Viernheimerstraße 2 64646 Heppenheim,Interdisziplinäre Intensivstation Website,HE,Begrenzt,Begrenzt,Nicht verfügbar,20.03.2020 10:54,"(49.6281904, 8.625263991462004)"
141,"Klinikum Landau-Südliche Weinstraße GmbH, Standort Landau","Bodelschwinghstraße 11, 76829 Landau in der Pfalz","Klinikum Landau-Südliche Weinstraße GmbH, Standort Landau Anästhesie und Intensivmedizin Bodelschwinghstraße 11 76829 Landau in der Pfalz",Intensivstation Website,RP,Verfügbar,Begrenzt,Nicht verfügbar,20.03.2020 09:47,"(49.20585625, 8.10387458129534)"
142,Marienhospital Wesel,"Pastor-Janssen-Str. 8-38, 46483 Wesel",Marienhospital Wesel Klinik für Anästhesiologie und Intensivmedizin Pastor-Janssen-Str. 8-38 46483 Wesel,Interdisziplinäre Intensivstation Website,NRW,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 15:41,"(51.6555381, 6.611446703291099)"
143,Krankenhaus Waldfriede,"Argentinische Allee 40, 14163 Berlin",Krankenhaus Waldfriede Argentinische Allee 40 14163 Berlin,Interdisziplinäre Intensivstation Website,BE,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 09:30,"(52.4442458, 13.2405487)"
144,Klinik Amsee GmbH,"Amsee 6, 17192 Waren (Müritz)",Klinik Amsee GmbH Amsee 6 17192 Waren (Müritz),Website,MV,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 09:25,"(53.54191485, 12.687805501790418)"
145,Park-Klinik Weissensee,"Schönstraße 80, 13186 Berlin",Park-Klinik Weissensee Anästhesiologie Schönstraße 80 13186 Berlin,Intensivstation Website,BE,Begrenzt,Verfügbar,Nicht verfügbar,20.03.2020 09:26,"(52.556575, 13.4565323)"
146,Evangelische Krankenhaus (EvK) Herne-Mitte,"Wiescherstr. 24, 44625 Herne",Evangelische Krankenhaus (EvK) Herne-Mitte Anästhesiologie/Innere Medizin Wiescherstr. 24 44625 Herne,Intensivstation Website,NRW,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 17:42,"(51.5283268, 7.242248)"
147,Klinikum Altenburgerland,"Am Waldessaum 10, 4600 Altenburg","Klinikum Altenburgerland Klinik für Anästhesiologie, Intensivmedizin und Schmerztherapie Am Waldessaum 10 4600 Altenburg",25 Website,TH,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 09:45,"(50.972397400000006, 12.441019322833714)"
148,Heliosklinikum Warburg,"Hüffertstraße 50, 34114 Warburg",Heliosklinikum Warburg Anästhesie und Intensivmedizin Hüffertstraße 50 34114 Warburg,Intensivstation/IMC Website,NRW,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 08:40,"(51.48745605, 9.140771869755607)"
149,Klinikum St. Georg Leipzig gGmbH,"Delitzscher Straße 141, 4129 Leipzig",Klinikum St. Georg Leipzig gGmbH Delitzscher Straße 141 4129 Leipzig,Website,SN,Ausgelastet,Begrenzt,Nicht verfügbar,20.03.2020 10:15,"(51.3827171, 12.3780315)"
150,"Klinikum Barnim GmbH, Werner Forßmann Krankenhaus Eberswalde","Rudolf Breitscheidstr 100, 16225 Eberswalde","Klinikum Barnim GmbH, Werner Forßmann Krankenhaus Eberswalde Klinik für Anästhesiologie, Intensivmedizin und Schmerztherapie Rudolf Breitscheidstr 100 16225 Eberswalde",Intensivstation 1; Intermediate Care Station 14 Website,BB,Verfügbar,Verfügbar,Ausgelastet,20.03.2020 08:53,"(52.828912349999996, 13.791840237986808)"
151,Kliniken Erlabrunn gGmbH,"Am Märzenberg 1A, 8359 Breitenbrunn",Kliniken Erlabrunn gGmbH Klinik für Anästhesiologie und Intensivmedizin Am Märzenberg 1A 8359 Breitenbrunn,Interdisziplinäre ITS/IMC/Stroke Unit Website,SN,Verfügbar,Begrenzt,Nicht verfügbar,20.03.2020 08:52,"(None, None)"
152,Asklepios Klinik Parchim,"John-Brinckman-Straße 8 - 10, 19370 Parchim",Asklepios Klinik Parchim Anästhesie und Intensivmedizin John-Brinckman-Straße 8 - 10 19370 Parchim,Station 5 - ITS - Website,MV,Verfügbar,Verfügbar,Ausgelastet,20.03.2020 08:45,"(53.4300054, 11.854030317059191)"
153,"Asklepios Westklinikum, Hamburg Rissen","Suurheid 20, 22529 Hamburg","Asklepios Westklinikum, Hamburg Rissen Anästhesiologie, Intensivmedizin, Notfallmedizin Suurheid 20 22529 Hamburg",Intensivstation Website,HH,Begrenzt,Begrenzt,Ausgelastet,20.03.2020 12:12,"(53.5820206, 9.773192058937315)"
154,St. Ansgar Krankenhaus Höxter (Klinikverbund KHWE),"Brenkhäuserstraße 71, 37671 Höxter",St. Ansgar Krankenhaus Höxter (Klinikverbund KHWE) Med. Klinik I/Kardiologie-Intensivmedizin Brenkhäuserstraße 71 37671 Höxter,Website,NRW,Verfügbar,Verfügbar,Verfügbar,20.03.2020 08:51,"(51.78503145, 9.365380828032954)"
155,Katharinen-Hospital Unna,"Obere Husemannstraße 2, 549423 Unna",Katharinen-Hospital Unna Anästhesiologie Obere Husemannstraße 2 549423 Unna,1a Website,NRW,Ausgelastet,Verfügbar,Nicht verfügbar,20.03.2020 11:36,"(51.537773, 7.6854567)"
156,Regio Kliniken Kreis Pinneberg Standort Elmshorn,"Agnes-Karll-Allee 17, 25337 Elmshorn",Regio Kliniken Kreis Pinneberg Standort Elmshorn Anästhesie und Innere Agnes-Karll-Allee 17 25337 Elmshorn,3 F Website,SH,Begrenzt,Verfügbar,Nicht verfügbar,21.03.2020 11:42,"(53.7525402, 9.6817563)"
157,BG Klinikum Bergmannstrost Halle,"Merseburger Str. 165, 6112 Halle (Saale)","BG Klinikum Bergmannstrost Halle Anästhesiologie, Intensiv- und Notfallmed., Schmerzth. Merseburger Str. 165 6112 Halle (Saale)",Interdisziplinäre Intensivstationen Website,ST,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 08:20,"(51.4604623, 11.985989030176398)"
158,Universitätsklinikum Augsburg,"Stenglinstraße 2, 86156 Augsburg",Universitätsklinikum Augsburg Interdisziplinär Stenglinstraße 2 86156 Augsburg,Corona-ICU Website,BY,Verfügbar,Verfügbar,Verfügbar,21.03.2020 11:33,"(48.3846765, 10.8384126)"
159,Klinik Preetz,"Am Krankenhaus 5, 24211 Preetz",Klinik Preetz Innere Medizin Am Krankenhaus 5 24211 Preetz,ITS Stat. 2 Website,SH,Verfügbar,Verfügbar,Ausgelastet,20.03.2020 11:25,"(54.23894705, 10.278120628242794)"
160,St. Marienwörth,"Mühlenstraße 39, 55543 Bad Kreuznach",St. Marienwörth Interdisziplinär Mühlenstraße 39 55543 Bad Kreuznach,Intensiv Website,RP,Verfügbar,Verfügbar,Ausgelastet,20.03.2020 07:47,"(49.8465575, 7.8613122)"
161,SANA Kliniken Sommerfeld,"Waldhausstrasse 44, 16766 Kremmen",SANA Kliniken Sommerfeld Anästhesiologie und Intensivtherapie Waldhausstrasse 44 16766 Kremmen,IMC Website,BB,Ausgelastet,Ausgelastet,Ausgelastet,20.03.2020 07:12,"(52.811558950000006, 13.035182648906604)"
162,Krankenhaus Martha-Maria Halle-Dölau,"Roentgenstr. 1, 6120 Halle",Krankenhaus Martha-Maria Halle-Dölau Klinik für Anästhesiologie und 'Intensivmedizin Roentgenstr. 1 6120 Halle,Interdisziplinäre Intensivstation Website,ST,Begrenzt,Verfügbar,Ausgelastet,20.03.2020 07:07,"(52.041806550000004, 8.371757180869764)"
163,Ev. Krankenhaus Wesel,"Schermbeckerlandstr. 88, 46485 Wesel",Ev. Krankenhaus Wesel Anästhesie und Intensivmedizin Schermbeckerlandstr. 88 46485 Wesel,IBS Website,NRW,Begrenzt,Verfügbar,Nicht verfügbar,21.03.2020 07:20,"(None, None)"
164,Rottal-Inn Kliniken KU - Eggenfelden,"Simonsöder Allee 20, 84307 Eggenfelden",Rottal-Inn Kliniken KU - Eggenfelden Simonsöder Allee 20 84307 Eggenfelden,Intensivstation Website,BY,Verfügbar,Verfügbar,Nicht verfügbar,19.03.2020 21:00,"(48.4134685, 12.760781)"
165,"Charité, Chirurgische Klinik, Campus Virchow-Klinikum","Augustenburger Platz 1, 13353 Berlin","Charité, Chirurgische Klinik, Campus Virchow-Klinikum Chirurgische Klinik CVK I CCM Augustenburger Platz 1 13353 Berlin",Chirurgische Intensivstation 9i Website,BE,Begrenzt,Begrenzt,Nicht verfügbar,21.03.2020 10:21,"(52.5422772, 13.3473804)"
166,Friedrich-Ebert-Krankenhaus Neumünster,"Friesenstr. 11, 24534 Neumünster",Friedrich-Ebert-Krankenhaus Neumünster Anästhesiologie und operative Intensivmedizin Friesenstr. 11 24534 Neumünster,59 Website,SH,Verfügbar,Verfügbar,Nicht verfügbar,19.03.2020 20:53,"(54.065266550000004, 9.99298980040623)"
